,coordinates_x,coordinates_y,bus_code,line,time_stamp,id
0,-55.995388,-34.86011,252,863,2018-10-02T17:07:12,252
1,-55.995388,-34.86011,252,863,2018-10-02T17:07:27,252
2,-55.995388,-34.86011,252,863,2018-10-02T17:07:42,252
3,-55.995388,-34.86011,252,863,2018-10-02T17:07:57,252
4,-55.995388,-34.86011,252,863,2018-10-02T17:08:12,252
5,-55.995388,-34.86011,252,863,2018-10-02T17:08:27,252
6,-55.995388,-34.86011,252,863,2018-10-02T17:08:42,252
7,-55.995388,-34.86011,252,863,2018-10-02T17:08:57,252
8,-55.995388,-34.86011,252,863,2018-10-02T17:09:12,252
9,-55.995388,-34.86011,252,863,2018-10-02T17:09:27,252
10,-55.995388,-34.86011,252,863,2018-10-02T17:09:42,252
11,-55.995388,-34.86011,252,863,2018-10-02T17:09:57,252
12,-55.995388,-34.86011,252,863,2018-10-02T17:10:12,252
13,-55.995388,-34.86011,252,863,2018-10-02T17:10:27,252
14,-55.995388,-34.86011,252,863,2018-10-02T17:10:42,252
15,-55.995388,-34.86011,252,863,2018-10-02T17:10:57,252
16,-55.995388,-34.86011,252,863,2018-10-02T17:11:12,252
17,-55.995388,-34.86011,252,863,2018-10-02T17:11:27,252
18,-55.995388,-34.86011,252,863,2018-10-02T17:11:42,252
19,-55.995388,-34.86011,252,863,2018-10-02T17:11:57,252
20,-55.995388,-34.86011,252,863,2018-10-02T17:12:12,252
21,-55.995388,-34.86011,252,863,2018-10-02T17:12:27,252
22,-55.995388,-34.86011,252,863,2018-10-02T17:12:42,252
23,-55.995388,-34.86011,252,863,2018-10-02T17:12:57,252
24,-55.995388,-34.86011,252,863,2018-10-02T17:13:12,252
25,-55.995388,-34.86011,252,863,2018-10-02T17:13:27,252
26,-55.995388,-34.86011,252,863,2018-10-02T17:13:42,252
27,-55.995388,-34.86011,252,863,2018-10-02T17:13:57,252
28,-55.995388,-34.86011,252,863,2018-10-02T17:14:12,252
29,-55.995388,-34.86011,252,863,2018-10-02T17:14:27,252
30,-55.995388,-34.86011,252,863,2018-10-02T17:14:42,252
31,-55.995388,-34.86011,252,863,2018-10-02T17:14:57,252
32,-55.995388,-34.86011,252,863,2018-10-02T17:15:12,252
33,-55.995388,-34.86011,252,863,2018-10-02T17:15:27,252
34,-55.995388,-34.86011,252,863,2018-10-02T17:15:42,252
35,-55.995388,-34.86011,252,863,2018-10-02T17:15:57,252
36,-55.995388,-34.86011,252,863,2018-10-02T17:16:12,252
37,-55.995388,-34.86011,252,863,2018-10-02T17:16:27,252
38,-55.995388,-34.86011,252,863,2018-10-02T17:16:42,252
39,-55.995388,-34.86011,252,863,2018-10-02T17:16:57,252
40,-55.99586,-34.85989,249,7899,2018-10-02T17:01:12,249
41,-55.996582,-34.86039,252,7899,2018-10-02T17:19:27,252
42,-55.996693,-34.86089,249,863,2018-10-02T16:42:41,249
43,-55.996693,-34.86089,249,863,2018-10-02T16:42:56,249
44,-55.996693,-34.86089,249,863,2018-10-02T16:43:11,249
45,-55.996693,-34.86089,249,863,2018-10-02T16:43:26,249
46,-55.996693,-34.86089,249,863,2018-10-02T16:43:41,249
47,-55.996693,-34.86089,249,863,2018-10-02T16:43:56,249
48,-55.996693,-34.86089,249,863,2018-10-02T16:44:11,249
49,-55.996693,-34.86089,249,863,2018-10-02T16:44:26,249
50,-55.996693,-34.86089,249,863,2018-10-02T16:44:41,249
51,-55.996693,-34.86089,249,863,2018-10-02T16:44:56,249
52,-55.996693,-34.86089,249,863,2018-10-02T16:45:11,249
53,-55.996693,-34.86089,249,863,2018-10-02T16:45:26,249
54,-55.996693,-34.86089,249,863,2018-10-02T16:45:41,249
55,-55.996693,-34.86089,249,863,2018-10-02T16:45:56,249
56,-55.996693,-34.86089,249,863,2018-10-02T16:46:11,249
57,-55.996693,-34.86089,249,863,2018-10-02T16:46:26,249
58,-55.996693,-34.86089,249,863,2018-10-02T16:46:41,249
59,-55.996693,-34.86089,249,863,2018-10-02T16:46:56,249
60,-55.996693,-34.86089,249,863,2018-10-02T16:47:11,249
61,-55.996693,-34.86089,249,863,2018-10-02T16:47:26,249
62,-55.996693,-34.86089,249,863,2018-10-02T16:47:41,249
63,-55.996693,-34.86089,249,863,2018-10-02T16:47:56,249
64,-55.996693,-34.86089,249,863,2018-10-02T16:48:11,249
65,-55.996693,-34.86089,249,863,2018-10-02T16:48:26,249
66,-55.996693,-34.86089,249,863,2018-10-02T16:48:41,249
67,-55.996693,-34.86089,249,863,2018-10-02T16:48:56,249
68,-55.996693,-34.86089,249,863,2018-10-02T16:49:11,249
69,-55.996693,-34.86089,249,863,2018-10-02T16:49:26,249
70,-55.996693,-34.86089,249,863,2018-10-02T16:49:41,249
71,-55.996693,-34.86089,249,863,2018-10-02T16:49:56,249
72,-55.996693,-34.86089,249,863,2018-10-02T16:50:11,249
73,-55.996693,-34.86089,249,863,2018-10-02T16:50:26,249
74,-55.996693,-34.86089,249,863,2018-10-02T16:50:41,249
75,-55.996693,-34.86089,249,863,2018-10-02T16:50:56,249
76,-55.996693,-34.86089,249,863,2018-10-02T16:51:11,249
77,-55.996693,-34.86089,249,863,2018-10-02T16:51:26,249
78,-55.996693,-34.86089,249,863,2018-10-02T16:51:41,249
79,-55.996693,-34.86089,249,863,2018-10-02T16:51:56,249
80,-55.996693,-34.86089,249,863,2018-10-02T16:52:11,249
81,-55.996777,-34.860973,252,863,2018-10-02T17:06:57,252
82,-55.997192,-34.86072,249,7899,2018-10-02T17:01:27,249
83,-55.997192,-34.86075,269,7899,2018-10-02T17:54:28,269
84,-55.99811,-34.861584,269,863,2018-10-02T17:47:13,269
85,-55.99811,-34.861584,269,863,2018-10-02T17:47:28,269
86,-55.99811,-34.861584,269,863,2018-10-02T17:47:43,269
87,-55.99811,-34.861584,269,863,2018-10-02T17:47:58,269
88,-55.99811,-34.861584,269,863,2018-10-02T17:48:13,269
89,-55.99811,-34.861584,269,863,2018-10-02T17:48:28,269
90,-55.99811,-34.861584,269,863,2018-10-02T17:48:43,269
91,-55.99811,-34.861584,269,863,2018-10-02T17:48:58,269
92,-55.99811,-34.861584,269,863,2018-10-02T17:49:13,269
93,-55.99811,-34.861584,269,863,2018-10-02T17:49:28,269
94,-55.99811,-34.861584,269,863,2018-10-02T17:49:43,269
95,-55.99811,-34.861584,269,863,2018-10-02T17:49:58,269
96,-55.99811,-34.861584,269,863,2018-10-02T17:50:13,269
97,-55.99811,-34.861584,269,863,2018-10-02T17:50:28,269
98,-55.99811,-34.861584,269,863,2018-10-02T17:50:43,269
99,-55.99811,-34.861584,269,863,2018-10-02T17:50:58,269
100,-55.99811,-34.861584,269,863,2018-10-02T17:51:13,269
101,-55.99811,-34.861584,269,863,2018-10-02T17:51:28,269
102,-55.99811,-34.861584,269,863,2018-10-02T17:51:43,269
103,-55.99811,-34.861584,269,863,2018-10-02T17:51:58,269
104,-55.99811,-34.861584,269,863,2018-10-02T17:52:13,269
105,-55.99811,-34.861584,269,863,2018-10-02T17:52:28,269
106,-55.99811,-34.861584,269,863,2018-10-02T17:52:43,269
107,-55.99811,-34.861584,269,863,2018-10-02T17:52:58,269
108,-55.99811,-34.861584,269,863,2018-10-02T17:53:13,269
109,-55.99811,-34.861584,269,863,2018-10-02T17:53:28,269
110,-55.99811,-34.861584,269,863,2018-10-02T17:53:43,269
111,-55.99811,-34.861584,269,863,2018-10-02T17:53:58,269
112,-55.99811,-34.861584,269,863,2018-10-02T17:54:13,269
113,-55.99811,-34.861584,269,863,2018-10-02T17:54:28,269
114,-55.99811,-34.861584,269,863,2018-10-02T17:54:43,269
115,-55.99811,-34.861584,269,863,2018-10-02T17:54:58,269
116,-55.99811,-34.861584,269,863,2018-10-02T17:55:13,269
117,-55.99811,-34.861584,269,863,2018-10-02T17:55:28,269
118,-55.99811,-34.861584,269,863,2018-10-02T17:55:43,269
119,-55.99811,-34.861584,269,863,2018-10-02T17:55:58,269
120,-55.99811,-34.861584,269,863,2018-10-02T17:56:13,269
121,-55.99811,-34.861584,269,863,2018-10-02T17:56:28,269
122,-55.99811,-34.861584,269,863,2018-10-02T17:56:43,269
123,-55.99811,-34.861584,269,863,2018-10-02T17:56:58,269
124,-55.99864,-34.86189,252,863,2018-10-02T17:06:42,252
125,-55.99886,-34.861805,269,7899,2018-10-02T17:54:43,269
126,-55.99922,-34.861973,249,7899,2018-10-02T17:01:42,249
127,-55.99922,-34.862278,252,863,2018-10-02T17:06:27,252
128,-55.999554,-34.862194,252,7899,2018-10-02T17:19:42,252
129,-55.999695,-34.862278,249,7899,2018-10-02T17:01:57,249
130,-56.0,-34.8625,252,7899,2018-10-02T17:19:57,252
131,-56.0,-34.8625,252,7899,2018-10-02T17:20:12,252
132,-56.000084,-34.86272,269,863,2018-10-02T17:46:43,269
133,-56.000084,-34.86272,269,863,2018-10-02T17:46:58,269
134,-56.000668,-34.862915,269,7899,2018-10-02T17:54:58,269
135,-56.000668,-34.86314,252,863,2018-10-02T17:06:12,252
136,-56.001137,-34.863167,249,7899,2018-10-02T17:02:12,249
137,-56.00214,-34.864025,269,863,2018-10-02T17:46:28,269
138,-56.00222,-34.863834,269,7899,2018-10-02T17:55:13,269
139,-56.002445,-34.86397,249,7899,2018-10-02T17:02:27,249
140,-56.002693,-34.86411,269,7899,2018-10-02T17:55:28,269
141,-56.003223,-34.864525,252,863,2018-10-02T17:05:57,252
142,-56.003304,-34.864525,249,863,2018-10-02T16:41:11,249
143,-56.003445,-34.864445,249,7899,2018-10-02T17:02:42,249
144,-56.00386,-34.864582,252,7899,2018-10-02T17:20:27,252
145,-56.00386,-34.864582,252,7899,2018-10-02T17:20:42,252
146,-56.004,-34.86464,269,7899,2018-10-02T17:55:43,269
147,-56.00447,-34.86497,269,863,2018-10-02T17:46:13,269
148,-56.005165,-34.865223,918,863,2018-10-02T17:59:13,918
149,-56.005165,-34.865223,918,863,2018-10-02T17:59:28,918
150,-56.005165,-34.865223,918,863,2018-10-02T17:59:43,918
151,-56.005165,-34.865223,918,863,2018-10-02T17:59:58,918
152,-56.005165,-34.865223,918,863,2018-10-02T18:00:13,918
153,-56.005165,-34.865223,918,863,2018-10-02T18:00:28,918
154,-56.005165,-34.865223,918,863,2018-10-02T18:00:43,918
155,-56.005165,-34.865223,918,863,2018-10-02T18:00:58,918
156,-56.005165,-34.865223,918,863,2018-10-02T18:01:13,918
157,-56.005165,-34.865223,918,863,2018-10-02T18:01:28,918
158,-56.005165,-34.865223,918,863,2018-10-02T18:01:43,918
159,-56.005165,-34.865223,918,863,2018-10-02T18:01:58,918
160,-56.005165,-34.865223,918,863,2018-10-02T18:02:13,918
161,-56.005165,-34.865223,918,863,2018-10-02T18:02:28,918
162,-56.005165,-34.865223,918,863,2018-10-02T18:02:43,918
163,-56.005165,-34.865223,918,863,2018-10-02T18:02:58,918
164,-56.005165,-34.865223,918,863,2018-10-02T18:03:13,918
165,-56.005165,-34.865223,918,863,2018-10-02T18:03:28,918
166,-56.005165,-34.865223,918,863,2018-10-02T18:03:43,918
167,-56.005165,-34.865223,918,863,2018-10-02T18:03:58,918
168,-56.005165,-34.865223,918,863,2018-10-02T18:04:13,918
169,-56.005165,-34.865223,918,863,2018-10-02T18:04:28,918
170,-56.005165,-34.865223,918,863,2018-10-02T18:04:43,918
171,-56.005165,-34.865223,918,863,2018-10-02T18:04:58,918
172,-56.005165,-34.865223,918,863,2018-10-02T18:05:13,918
173,-56.005165,-34.865223,918,863,2018-10-02T18:05:28,918
174,-56.005165,-34.865223,918,863,2018-10-02T18:05:43,918
175,-56.005165,-34.865223,918,863,2018-10-02T18:05:58,918
176,-56.005165,-34.865223,918,863,2018-10-02T18:06:13,918
177,-56.005165,-34.865223,918,863,2018-10-02T18:06:28,918
178,-56.005165,-34.865223,918,863,2018-10-02T18:06:43,918
179,-56.005165,-34.865223,918,863,2018-10-02T18:06:58,918
180,-56.005165,-34.865223,918,863,2018-10-02T18:07:13,918
181,-56.005165,-34.865223,918,863,2018-10-02T18:07:28,918
182,-56.005165,-34.865223,918,863,2018-10-02T18:07:43,918
183,-56.005165,-34.865223,918,863,2018-10-02T18:07:58,918
184,-56.005165,-34.865223,918,863,2018-10-02T18:08:13,918
185,-56.005165,-34.865223,918,863,2018-10-02T18:08:28,918
186,-56.005165,-34.865223,918,863,2018-10-02T18:08:43,918
187,-56.005165,-34.865223,918,863,2018-10-02T18:08:58,918
